event,flag,grp,dev_only,eval_only,both,z_eval_excess
pf_overcall_3rd_Yin,deficit_10,tight,0,0,0,0.0
pf_overcall_3rd_Yin,deficit_16,sym,0,0,0,0.0
pf_overcall_3rd_Yin,deficit_16,tight,0,0,0,0.0
pf_overcall_3rd_Yin,deficit_25,sym,0,0,0,0.0
pf_overcall_3rd_Yin,deficit_25,tight,0,0,0,0.0
pf_fold_3rd_Yin,dirtop_G6,sym,0,1,0,1.0
pf_fold_3rd_Yin,dirtop_G6,tight,0,0,0,0.0
pf_fold_3rd_Yin,dirtop_G10,sym,0,0,0,0.0
pf_fold_3rd_Yin,dirtop_G10,tight,0,0,0,0.0
pf_fold_3rd_Yin,dirtop_G16,sym,0,0,0,0.0
pf_fold_3rd_Yin,dirtop_G16,tight,0,0,0,0.0
pf_fold_3rd_Yin,dirtop_G25,sym,0,0,0,0.0
pf_fold_3rd_Yin,dirtop_G25,tight,0,0,0,0.0
pf_fold_3rd_Yin,symtop_G3,sym,0,0,0,0.0
pf_fold_3rd_Yin,symtop_G3,tight,0,0,0,0.0
pf_fold_3rd_Yin,symtop_G6,sym,0,0,0,0.0
pf_fold_3rd_Yin,symtop_G6,tight,0,0,0,0.0
pf_fold_3rd_Yin,symtop_G10,sym,0,0,0,0.0
pf_fold_3rd_Yin,symtop_G10,tight,0,0,0,0.0
pf_fold_3rd_Yin,gmax_16,sym,0,0,0,0.0
pf_fold_3rd_Yin,gmax_16,tight,0,0,0,0.0
pf_fold_3rd_Yin,gmax_25,sym,0,0,0,0.0
pf_fold_3rd_Yin,gmax_25,tight,0,0,0,0.0
pf_fold_3rd_Yin,gmax_40,sym,0,0,0,0.0
pf_fold_3rd_Yin,gmax_40,tight,0,0,0,0.0
pf_fold_3rd_Yin,deficit_10,sym,2,4,0,0.82
pf_fold_3rd_Yin,deficit_10,tight,0,0,0,0.0
pf_fold_3rd_Yin,deficit_16,sym,0,0,0,0.0
pf_fold_3rd_Yin,deficit_16,tight,0,0,0,0.0
pf_fold_3rd_Yin,deficit_25,sym,0,0,0,0.0
pf_fold_3rd_Yin,deficit_25,tight,0,0,0,0.0
pf_squeeze_3rd_Yin,dirtop_G6,sym,345,298,0,-1.85
pf_squeeze_3rd_Yin,dirtop_G6,tight,49,59,0,0.96
pf_squeeze_3rd_Yin,dirtop_G10,sym,36,28,0,-1.0
